treat_adult Average tube block
N 0.087603333 N10 5
N 0.080036667 N10 5
N 0.08692 N10 5
N 0.08879 N10 5
N 0.089663333 N10 5
U 0.085223333 U1 6
U 0.08588 U1 6
U 0.086316667 U1 6
U 0.094323333 U1 6
U 0.086553333 U1 6
U 0.090613333 U1 6
U 0.078813333 U1 6
U 0.086673333 U1 6
U 0.088566667 U1 6
U 0.086916667 U1 6
U 0.087046667 U1 6
U 0.088063333 U1 6
U 0.088596667 U1 6
U 0.08645 U1 6
U 0.08636 U1 6
U 0.088173333 U1 6
U 0.08777 U1 6
U 0.084743333 U1 6
U 0.08559 U1 6
U 0.089436667 U1 6
U 0.085476667 U1 6
U 0.089296667 U1 6
U 0.085486667 U1 6
U 0.08962 U1 6
U 0.08845 U1 6
U 0.088226667 U1 6
U 0.087496667 U1 6
U 0.086683333 U1 6
U 0.089556667 U1 6
U 0.08718 U1 6
U 0.087233333 U1 6
U 0.08658 U1 6
U 0.086703333 U1 6
U 0.088893333 U1 6
U 0.086153333 U1 6
U 0.088026667 U2 6
U 0.088953333 U2 6
U 0.09007 U2 6
U 0.086783333 U2 6
U 0.083846667 U2 6
U 0.088683333 U2 6
U 0.085846667 U2 6
U 0.08417 U2 6
U 0.084586667 U2 6
U 0.090686667 U2 6
U 0.08364 U2 6
U 0.086923333 U2 6
U 0.088506667 U2 6
U 0.088143333 U2 6
U 0.08912 U2 6
U 0.086976667 U2 6
U 0.084523333 U2 6
U 0.08773 U2 6
U 0.089103333 U2 6
U 0.093163333 U2 6
U 0.08687 U2 6
U 0.085253333 U2 6
U 0.083733333 U2 6
U 0.08659 U2 6
U 0.0853 U2 6
U 0.087603333 U2 6
U 0.08361 U2 6
U 0.08663 U2 6
U 0.084303333 U2 6
U 0.085966667 U2 6
U 0.08463 U2 6
U 0.085576667 U2 6
U 0.087893333 U2 6
U 0.08616 U2 6
U 0.090426667 U2 6
U 0.084306667 U3 7
U 0.086033333 U3 7
U 0.085803333 U3 7
U 0.088363333 U3 7
U 0.087333333 U3 7
U 0.085813333 U3 7
U 0.08284 U3 7
U 0.087803333 U3 7
U 0.086493333 U3 7
U 0.0846 U3 7
U 0.08456 U3 7
U 0.082093333 U3 7
U 0.08857 U3 7
U 0.087373333 U3 7
U 0.083586667 U3 7
U 0.085043333 U3 7
U 0.08772 U3 7
U 0.088436667 U3 7
U 0.086826667 U3 7
U 0.08296 U3 7
U 0.084356667 U3 7
U 0.08748 U3 7
U 0.084576667 U3 7
U 0.086103333 U3 7
U 0.086083333 U3 7
U 0.08612 U3 7
U 0.085833333 U3 7
U 0.085613333 U3 7
U 0.089483333 U3 7
U 0.086086667 U3 7
U 0.08622 U3 7
U 0.087096667 U3 7
U 0.085216667 U3 7
U 0.086986667 U3 7
U 0.087356667 U3 7
U 0.08408 U4 7
U 0.084903333 U4 7
U 0.08438 U4 7
U 0.08562 U4 7
U 0.086693333 U4 7
U 0.085423333 U4 7
U 0.085996667 U4 7
U 0.084146667 U4 7
U 0.084963333 U4 7
U 0.08562 U4 7
U 0.085696667 U4 7
U 0.086643333 U4 7
U 0.086526667 U4 7
U 0.086563333 U4 7
U 0.086883333 U4 7
U 0.086716667 U4 7
U 0.084026667 U4 7
U 0.08645 U4 7
U 0.085833333 U4 7
U 0.0844 U4 7
U 0.087203333 U4 7
U 0.082943333 U4 7
U 0.08329 U4 7
U 0.088006667 U4 7
U 0.086613333 U4 7
U 0.087083333 U4 7
U 0.085223333 U4 7
U 0.085436667 U4 7
U 0.085426667 U4 7
U 0.084483333 U4 7
U 0.086003333 U4 7
U 0.08457 U4 7
U 0.085766667 U4 7
U 0.08443 U4 7
U 0.08459 U4 7
U 0.085103333 U5 8
U 0.08721 U5 8
U 0.088083333 U5 8
U 0.08616 U5 8
U 0.08605 U5 8
U 0.087873333 U5 8
U 0.088126667 U5 8
U 0.089083333 U5 8
U 0.0874 U5 8
U 0.08932 U5 8
U 0.086133333 U5 8
U 0.086043333 U5 8
U 0.086473333 U5 8
U 0.08821 U5 8
U 0.085423333 U5 8
U 0.08751 U5 8
U 0.08792 U5 8
U 0.088156667 U5 8
U 0.08899 U5 8
U 0.089343333 U5 8
U 0.08615 U5 8
U 0.085403333 U5 8
U 0.08766 U5 8
U 0.084736667 U5 8
U 0.087166667 U5 8
U 0.081736667 U5 8
U 0.084883333 U5 8
U 0.090703333 U5 8
U 0.08716 U5 8
U 0.085093333 U5 8
U 0.086506667 U5 8
U 0.083696667 U5 8
U 0.083333333 U5 8
U 0.086543333 U5 8
U 0.08714 U5 8
U 0.082256667 U6 8
U 0.084896667 U6 8
U 0.086516667 U6 8
U 0.082626667 U6 8
U 0.085306667 U6 8
U 0.082866667 U6 8
U 0.084863333 U6 8
U 0.084396667 U6 8
U 0.079186667 U6 8
U 0.082443333 U6 8
U 0.084296667 U6 8
U 0.084473333 U6 8
U 0.084826667 U6 8
U 0.08628 U6 8
U 0.082353333 U6 8
U 0.08356 U6 8
U 0.083866667 U6 8
U 0.084573333 U6 8
U 0.08299 U6 8
U 0.086163333 U6 8
U 0.084346667 U6 8
U 0.083016667 U6 8
U 0.08308 U6 8
U 0.082853333 U6 8
U 0.077216667 U6 8
U 0.083643333 U6 8
U 0.083663333 U6 8
U 0.08364 U6 8
U 0.082906667 U6 8
U 0.088076667 U6 8
U 0.083203333 U6 8
U 0.081523333 U6 8
U 0.083243333 U6 8
U 0.08439 U6 8
U 0.086283333 U7 9
U 0.086826667 U7 9
U 0.086486667 U7 9
U 0.079996667 U7 9
U 0.085323333 U7 9
U 0.081993333 U7 9
U 0.084913333 U7 9
U 0.086553333 U7 9
U 0.088803333 U7 9
U 0.086426667 U7 9
U 0.08737 U7 9
U 0.088563333 U7 9
U 0.08282 U7 9
U 0.087273333 U7 9
U 0.085453333 U7 9
U 0.086256667 U7 9
U 0.08468 U7 9
U 0.08829 U7 9
U 0.08375 U7 9
U 0.08635 U7 9
U 0.081063333 U7 9
U 0.08572 U7 9
